Timestamp,What is your age group?,What gender do you identify with?,How would you describe your ethnicity?,Do you consider yourself to have a disability or long term health condition?,What is your sexual orientation?,Please indicate the following about your employment status:,What is your religious belief?,Where do you currently live?,Had you been to a sauna before you came to Community Sauna?,How did you hear about the Community Sauna?,How often do you visit our sauna?,Which of our sauna locations do you visit most often?,Have you experienced any physical health improvements from using the sauna?,Have you experienced any mental health improvements from using the sauna?,"How important is having regular access to sauna?

On a scale of 1 to 5, where 1 is low and 5 is high",What do you enjoy most about the community sauna?,Are you satisfied with the temperature at our saunas?,"If you’re not satisfied, could you please explain why",Are you satisfied with the amount of customers during the sessions?,"If you’re not satisfied, could you please explain why2",Do you feel a sense of belonging or community when using the sauna?,"How would you rate  the overall cleanliness and hygiene of the sauna facilities?

On a scale of 1 to 5, where 1 is low and 5 is high","How would you rate the staff’s friendliness and professionalism? 

On a scale of 1 to 5, where 1 is low and 5 is high","How would you rate the overall ambiance and atmosphere of the sauna?

On a scale of 1 to 5, where 1 is low and 5 is high","Are the sauna prices reasonable and in line with your expectations?

On a scale of 1 to 5, where 1 is low and 5 is high",What improvements or additions would you like to see in the sauna facilities or services?,"Do you know of any specific location where we could set up a community sauna? (e.g., a park, unused building, or local space)","What improvements would you suggest for the facilities, services, or events?",Are you familiar with our social prescribing offers and services?,"If yes, how did you hear about it?",Please share why community sauna is important to you?,In which area of London would you like us to set up a sauna?,What topics would you like to hear more about from us in our communications? (Select all that apply),Is there anything else you would like to share or comment on regarding your experiences at the community sauna in London?
45688.6917975694,25–34,Male,Other ethnic group (please specify): ______________,No,Prefer not to Say,Employed,Prefer not to say,East London,Once or twice,Word of mouth,Rarely,Hackney Wick,Not sure,Yes,3,"Helped with physical pain management, Improved my fitness performance, Improved my health",Yes,,Yes,,4,5,5,5,4,,,,No,,,Central London,,
45688.6922486111,25–34,Male,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Agnosticism,South West London,Once or twice,Word of mouth,Monthly,Hackney Wick,Yes,Yes,5,"Improved mood, Increased my body confidence",Yes,,Yes,,3,5,5,5,3,,Unfortunately not ,,No,Social Media,An affordable way to help clear the stresses of the week that is accessible to all ,South West London,Sauna etiquette or best practices,
45688.6922820255,25–34,Female,"White (e.g., British, Irish, other European background)",Yes,Prefer not to Say,Employed,Prefer not to say,East London,Somewhat regular,Word of mouth,Rarely,Peckham,Not sure,Yes,3,"Improved mood, Improved sense of belonging to the local community., Assists me with my mental health resilience, Helped me connect with the outdoors",Sometimes,Could be hotter sometimes,Yes,,4,4,4,5,4,,Community garden I volunteer at in Stoke Newington - we are currently revamping it!,,Yes,Social Media,Space to connect and unwind,North East London,"Upcoming events, Stories and testimonials from the community, Not-for-profit work",
45688.6924009606,45–54,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Atheism,South East London,Never,Word of mouth,Monthly,Peckham,No,Yes,1,"Improved mood, Assists me with my mental health resilience",Yes,,Yes,,3,3,2,2,3,,,,No,,Time for myself ,South East London,Sauna health benefits,
45688.6924452431,25–34,Female,"White (e.g., British, Irish, other European background)",Prefer not to say,Bisexual/Pansexual,Employed,Atheism,East London,Never,Word of mouth,Monthly,Hackney Wick,Yes,Yes,4,"Improved mood, Assists me with my mental health resilience, Improved my health, Helped me connect with the outdoors",Yes,,Yes,,3,4,4,5,5,"I love it - love the free tea, the vibes, the price ",,,Yes,,So good for my mental health and as an LGBT woman it feels like a nice welcoming space for me and my partner to relax! ,Central London,Sauna etiquette or best practices,"No but I love it, huge fan :) "
45688.6927218287,25–34,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Self employed,Atheism,South East London,Once or twice,Word of mouth,Weekly,Peckham,Yes,Yes,4,"Helped with physical pain management, Improved my fitness performance, Improved mood, Improved sense of belonging to the local community., Assists me with my mental health resilience, Improved my health, Helped me connect with the outdoors, Increased my body confidence",Yes,,No,"Sometimes it's a bit busy, and you have to hover outside of a sauna for there to be room.",5,5,4,5,5,,There are lots of estates with green spaces across London. That could be a nice way for people from a lower economic-socio background to access the sauna. The consort estate or elephant & castle for example.,Just more sauna's so they are less crowded!,No,,It's very good to decompress at the end of a busy week and to prepare for the week ahead. It's also a nice alternative social activity to the drinking culture that we're so obsessed with here in the UK.,South East London,"Sauna health benefits, Upcoming events",
45688.6929179282,35–44,Male,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Atheism,East London,Once or twice,Word of mouth,Monthly,Hackney Wick,Yes,Yes,4,"Helped with physical pain management, Improved my fitness performance, Improved mood, Improved sense of belonging to the local community., Assists me with my mental health resilience, Improved my health, Helped me connect with the outdoors",Yes,,Yes,,3,4,5,5,4,Better/warmer changing rooms,,,No,,,North East London,"Sauna health benefits, Behind the scenes, Upcoming events, Not-for-profit work",
45688.6930646181,35–44,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Atheism,East London,Once or twice,Community events,Monthly,Hackney Wick,Not sure,Yes,3,"Improved mood, Helped me connect with the outdoors, I made new friends at the sauna",Yes,,Yes,,4,3,4,4,4,,,,No,Mama Swim,,North East London,,
45688.6931269792,25–34,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Unemployed,Christianity,North London,I was already a regular sauna user,Word of mouth,Rarely,Hackney Wick,Yes,Yes,5,"Improved mood, Improved my health",Yes,,Yes,,5,3,5,5,4,,"Hampstead Heath! The lido sauna is always so packed, we need another.",None,No,,Physical and mental health,North West London,"Sauna health benefits, Behind the scenes, Upcoming events",Thank you!
45688.6931488657,45–54,Female,"Mixed or multiple ethnic groups (e.g., White and Black Caribbean, White and Asian)",No,Prefer not to Say,Self employed,Spiritual but not Religious,North East London,I was already a regular sauna user,Word of mouth,Monthly,Stratford,Yes,Yes,5,"Improved mood, Improved sense of belonging to the local community., Assists me with my mental health resilience, Increased my body confidence",Sometimes,could be warmer on occasion ,Yes,,4,4,5,5,4,stratford- proper curtains on changing rooms. New lockers additional  lockers Maybe a few benches to sit on inbetween areas. ,wood green back of iceland industrial spaces ,,Yes,Social Media,reasonable prices and keeps people local and connected without shopping as main entertainment. Great for community spirit.,North East London,,
45688.6933047106,25–34,Male,"White (e.g., British, Irish, other European background)",No,Bisexual/Pansexual,Employed,Atheism,South East London,Never,Word of mouth,Weekly,Peckham,Yes,Yes,5,"Improved mood, Improved sense of belonging to the local community., Assists me with my mental health resilience, Improved my health, Helped me connect with the outdoors, I made new friends at the sauna",Yes,,Yes,,5,5,5,5,5,,,,No,,,,"Sauna health benefits, Upcoming events, Not-for-profit work",
45688.6933599769,45–54,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Christianity,East London,Once or twice,Word of mouth,Rarely,Hackney Wick,Yes,Yes,4,Improved my health,Yes,,Yes,,3,4,5,5,5,,,,Yes,Event,Relax unwind ,North East London,"Sauna health benefits, Behind the scenes, Sauna etiquette or best practices, Upcoming events, Stories and testimonials from the community, Not-for-profit work",
45688.6935357639,25–34,Female,"White (e.g., British, Irish, other European background)",No,Bisexual/Pansexual,Employed,Atheism,East London,Once or twice,Word of mouth,Monthly,Hackney Wick,Not sure,Yes,5,"Improved mood, Improved sense of belonging to the local community., Assists me with my mental health resilience, Helped me connect with the outdoors, Increased my body confidence",Yes,,Yes,,3,4,4,5,2,A toilet near the sauna and a hot shower,,,No,,"It's a place to relax, connect with yourself and the people that is with you. ",North East London,"Sauna health benefits, Behind the scenes, Sauna etiquette or best practices, Upcoming events",
45688.6936447338,25–34,Female,"White (e.g., British, Irish, other European background)",No,Bisexual/Pansexual,Employed,Agnosticism,North London,Once or twice,Voucher given as birthday present,Rarely,Hackney Wick,No,No,3,"Improved sense of belonging to the local community., Helped me connect with the outdoors, Increased my body confidence",Yes,,Yes,,4,4,5,5,5,,Shoreditch Park,More changing rooms and improved changing rooms,No,,"Lack of community in London, places where (mostly) young people socialize are often oppressive, alcohol or drug-oriented or judgmental spaces. The sauna feels like an antidote to all of that and was really refreshing to experience.",North East London,"Sauna health benefits, Upcoming events",Very good experience and staff were lovely 
45688.6938266435,35–44,Female,"White (e.g., British, Irish, other European background)",No,Bisexual/Pansexual,Business owner,Agnosticism,North London,Once or twice,Word of mouth,Weekly,Hackney Wick,Yes,Yes,5,"Improved mood, Assists me with my mental health resilience, Helped me connect with the outdoors",,,Yes,,4,5,5,5,5,,,,Yes,Social Media,My mental health,North West London,Sauna health benefits,
45688.6944253819,35–44,Female,"Mixed or multiple ethnic groups (e.g., White and Black Caribbean, White and Asian)",Yes,Heterosexual,Employed,Spiritual but not Religious,East London,Once or twice,Word of mouth,Weekly,Hackney Wick,Yes,Yes,5,"Helped with physical pain management, Improved mood, Improved sense of belonging to the local community., Assists me with my mental health resilience, Improved my health, Helped me connect with the outdoors",Yes,,No,"A little too busy, but I understand there's a lot of demand so I hope you open up another sauna in Hackney",5,5,5,5,5,,Would it be possible to set one up in Hackney Downs? Or maybe by the Claton Hart there's a building that seems unused in last few years. Or maybe in Millfields? Or the marshes?,Perfect as is,No,,"Very important for mental and physical health, affordable rates mean it's more of a community space, which is critical to the atmosphere of the place and therefore its capacity to improve health",Hackney seems to be super busy so another sauna would be great,Upcoming events,"Such a fantastic addition to Hackney, thank you!"
45688.6944362616,35–44,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Spiritual but not Religious,South East London,Once or twice,Instagram,Monthly,Peckham,Yes,Yes,4,"Improved mood, Improved sense of belonging to the local community., Improved my health, Helped me connect with the outdoors, Increased my body confidence",Yes,,Yes,,4,4,4,5,4,Warm showers would be great but not essential,Myatts fields park,None,No,,"It’s a community space to relax, recharge, meet others",South East London,"Sauna health benefits, Upcoming events",
45688.6944509375,25–34,Female,"Asian or Asian British (e.g., Indian, Pakistani, Bangladeshi, Chinese)",No,Heterosexual,Employed,Agnosticism,North East London,Once or twice,Word of mouth,Monthly,Hackney Wick,Not sure,Not sure,2,Improved mood,Sometimes,The big sauna’s door has a big gap at the bottom which leaks cold air ,No,Too many people at once,1,3,5,4,5,,The industrial estate near Markfield Park in Tottenham,,No,,,North East London,Upcoming events,
45688.6944789699,45–54,Male,"White (e.g., British, Irish, other European background)",Yes,Homosexual,Self employed,Spiritual but not Religious,East London,I was already a regular sauna user,Word of mouth,Rarely,Hackney Wick,Yes,Yes,3,"Improved mood, Assists me with my mental health resilience, Helped me connect with the outdoors",Yes,,Yes,,3,3,4,3,3,,,,Yes,knockout boxing club,,North East London,"Sauna health benefits, Upcoming events, Not-for-profit work",
45688.6945417824,35–44,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Self employed,Spiritual but not Religious,East London,Once or twice,Instagram,Rarely,Stratford,Not sure,Not sure,3,"Improved mood, Helped me connect with the outdoors",Yes,,Yes,,4,5,5,5,5,,No but somewhere around Leytonstone / Wanstead would have been amazing :),,No,,"Affordable sauna with a community spirit and happy vibes, what's not to love!",North East London,"Behind the scenes, Upcoming events, Not-for-profit work",
45688.6945678241,25–34,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Atheism,South East London,Once or twice,National newspaper article.,Weekly,Bermondsey,Yes,Yes,5,"Improved mood, Improved sense of belonging to the local community., Assists me with my mental health resilience, Helped me connect with the outdoors, Increased my body confidence",Sometimes,Some of the saunas struggle to keep the heat! Lots of door opening worsens the heat leaking,Yes,,5,5,5,5,5,Better changing facilities at Peckham,,Saloon doors on the changing rooms at Peckham should be removed as they’re impractical! More hooks in changing rooms wouldn’t go amiss. More ice baths! Opportunity to buy a coffee at a bigger site such as Ruskin Park could be nice. Any excuse to hang around afterwards with friends ,Yes,Posters,The community sauna provides a sense of belonging that is often missing for nomadic renters! Everyone is always so friendly and you never ever regret a sauna session. ,South East London,"Behind the scenes, Sauna etiquette or best practices, Upcoming events, Not-for-profit work",
45688.6948220833,35–44,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Both employed and self-employed,Spiritual but not Religious,North East London,not regular but frequently enough,Word of mouth,Rarely,Hackney Wick,Not sure,Not sure,4,"Improved sense of belonging to the local community., Assists me with my mental health resilience, self-care quiet time, somewhat new experience",Yes,,Yes,BUT the one quiet sauna is often full,4,4,5,5,5,"I'd only personally use them more if I had the disposable income. It's still for me just a treat, rather than something I can regularly use. I appreciate everything you do, including the small touches like the herbal tea.",You've asked us at The Castle before but not possible for the available land! But assume you may have tried Better for West Reservoir?,"An additional quiet sauna, even if only for certain sessions",No,,"Supporting a community-interest company, that puts that ahead of profit for profit's sake. Creating a unique space for the sensory overload of this city and general modern life. A nice experience and something different to do while being accessible and mostly affordable.",North East London,"Sauna health benefits, Sauna etiquette or best practices",Thank you for it all!
45688.6950382986,25–34,Male,Prefer not to say,No,Prefer not to Say,Employed,Prefer not to say,South West London,I was already a regular sauna user,Word of mouth,Rarely,Hackney Wick,Yes,Yes,5,"Improved mood, Improved my health, Helped me connect with the outdoors",Yes,,Yes,,4,5,5,5,4,,Not now,Everything works for me,No,Event,,South West London,Upcoming events,
45688.6950464236,35–44,Female,"White (e.g., British, Irish, other European background)",No,Prefer not to Say,Employed,Judaism,North East London,I was already a regular sauna user,Word of mouth,Monthly,Hackney Wick,Yes,Yes,5,"Improved mood, Assists me with my mental health resilience, Helped me connect with the outdoors",Yes,,Yes,,5,5,5,5,5,,,Events sell out so fast!,No,,,North East London,"Behind the scenes, Sauna etiquette or best practices, Upcoming events",
45688.695050787,25–34,Female,"White (e.g., British, Irish, other European background)",No,Bisexual/Pansexual,Self employed,Atheism,East London,I was already a regular sauna user,Word of mouth,Weekly,Hackney Wick,Not sure,Yes,5,"Helped with physical pain management, Improved mood, Improved sense of belonging to the local community.",Yes,,Yes,,3,3,5,4,4,,,,No,,,,"Sauna health benefits, Sauna etiquette or best practices, Stories and testimonials from the community",More clearer communication for people re etiquette. Lots of people not sitting on towels/putting lots of ladles on at a time/not asking before putting water on coals. This is mostly from male sauna users and has made me feel uncomfortable at times 
45688.6951090162,25–34,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Atheism,West London,I was already a regular sauna user,Website,Monthly,Stratford,No,Yes,4,"Improved mood, Assists me with my mental health resilience, Helped me connect with the outdoors, Increased my body confidence",Yes,,Yes,,4,1,1,1,2,"Open sauna in North West London! Also I would add some sessions without swimming suits, using sheets to cover, sauna feels so much nicer without swimming suits ",No,,No,,I need regular self care. Sauna is great for my tired muscles and skin. I love the feeling of being in sauna and going to cold plunge after. I am much more resilient to cold water now. I feel mentally and physically relaxed after each session and my body loved it. ,North West London,"Sauna health benefits, Sauna etiquette or best practices, Upcoming events, Not-for-profit work",
45688.6951394792,25–34,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Agnosticism,South East London,Never,Word of mouth,Weekly,Peckham,Not sure,Yes,5,"Improved mood, Improved sense of belonging to the local community., Helped me connect with the outdoors",Sometimes,Could be hotter,Yes,,4,5,5,5,5,having a more covered area for belongings so they don't get rained on,,,No,,"To have a London based healthy activity to do with my friends that doesn't involve drinking and eating, and helps me connect with nature more",South East London,Upcoming events,
45688.69515,25–34,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Atheism,South East London,Once or twice,Word of mouth,Weekly,Peckham,Not sure,Yes,3,"Improved mood, Improved sense of belonging to the local community.",Yes,,No,Sometimes feels like too many people,3,4,4,4,4,,,,,,,South East London,Sauna health benefits,Thank you :)
45688.6951642361,45–54,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Atheism,East London,frequently ,Word of mouth,Monthly,Hackney Wick,Yes,Yes,5,"Helped with physical pain management, Improved mood, Assists me with my mental health resilience",Yes,,Yes,,5,2,5,4,5,space to lay down and rest between saunas,walthamstow ,rest area,Yes,Social Media,atmosphere like a festival,leyton,"Behind the scenes, Upcoming events",
45688.6952845949,35–44,Male,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Christianity,North London,Once or twice,Word of mouth,Monthly,Stratford,Yes,Yes,3,"Improved mood, Assists me with my mental health resilience",Yes,,No,To many people ,3,4,5,4,4,,no,,No,,For mental health ,North East London,Sauna health benefits,
45688.6954491088,25–34,Male,"White (e.g., British, Irish, other European background)",No,Homosexual,Employed,Atheism,East London,Once or twice,Word of mouth,Monthly,Stratford,No,Yes,4,"Improved my fitness performance, Improved mood",Yes,,No,sometimes feels a bit to busy at a fully booked Stratford session,3,5,5,4,3,,,,No,,"it is an accessible, well kept sauna with plunge facility",North East London,Behind the scenes,
45688.6955406019,25–34,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Student,Spiritual but not Religious,North London,Once or twice,Word of mouth,Monthly,Hackney Wick,Yes,Yes,4,"Improved mood, Improved sense of belonging to the local community., Assists me with my mental health resilience",Yes,,Yes,,4,4,5,4,4,,,,No,,It's a great reset. It's so valuable to have community spaces that aren't just about profit. It's a lovely way to see friends. ,Central London,"Sauna health benefits, Behind the scenes, Sauna etiquette or best practices",Thanks for everything you do! 
45688.6956056366,25–34,Non-binary,"Mixed or multiple ethnic groups (e.g., White and Black Caribbean, White and Asian)",Yes,Bisexual/Pansexual,Self employed,Spiritual but not Religious,North London,I was already a regular sauna user,Instagram,Rarely,Hackney Wick,Yes,Yes,5,"Helped with physical pain management, Improved mood, Improved sense of belonging to the local community., Assists me with my mental health resilience, Improved my health, I made new friends at the sauna, Increased my body confidence",Yes,,Yes,,5,5,5,5,5,,Somewhere in Enfield - north. I’m sure there are lots of spots! ,,No,,"Ability to relax with like minded people. Other saunas I have been to - in leisure centres I have not felt comfortable to be myself in. At the community sauna, I have never felt judged. ",North! Enfield ,"Sauna etiquette or best practices, Upcoming events, Not-for-profit work","Thank you! I love the tea, everything is always lovely and clean. I love the variety of saunas. So happy you’re continuingly growing "
45688.6958222569,55–64,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Self employed,Atheism,South East London,I was already a regular sauna user,Word of mouth,Monthly,Peckham,Yes,Yes,5,"Improved mood, Improved sense of belonging to the local community., Assists me with my mental health resilience, Improved my health, I made new friends at the sauna",Yes,,Yes,,5,5,5,5,5,,,,Yes,Social Media,"It is great for my mental and physical health, as well as a feeling of community. I love the sauna! Best thing that has happened in the area! ",South East London,"Sauna health benefits, Behind the scenes, Sauna etiquette or best practices, Upcoming events, Not-for-profit work",
45688.6971154167,25–34,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Atheism,East London,I was already a regular sauna user,Word of mouth,Monthly,Hackney Wick,Yes,Yes,5,"Improved mood, Improved sense of belonging to the local community.",Yes,,No,Sometimes a little crowded ,5,4,3,3,5,Bathroom closer to the sauna area ,No ,,No,,,North East London,,
45688.6972119444,25–34,Female,"White (e.g., British, Irish, other European background)",Yes,Heterosexual,Self employed,Agnosticism,South West London,I was already a regular sauna user,TikTok,Rarely,Hackney Wick,Yes,Yes,5,"Helped with physical pain management, Improved my fitness performance, Improved mood, Assists me with my mental health resilience, Improved my health, Increased my body confidence",Yes,,Yes,,3,4,4,4,4,Hot water showers and change rooms with hair dryers (for winter),,A branch in the SW!,No,,Brings like minded people together,South West London,,
45688.6977674653,25–34,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Atheism,North London,Once or twice,Word of mouth,Monthly,Hackney Wick,Not sure,Yes,4,"Improved mood, Improved sense of belonging to the local community., Assists me with my mental health resilience, Helped me connect with the outdoors",Yes,,Yes,,4,4,5,5,4,,,,No,,,,"Sauna health benefits, Sauna etiquette or best practices",
45688.6979476736,35–44,Female,"Black, Black British, African, or Caribbean",Yes,Bisexual/Pansexual,Unemployed,Spiritual but not Religious,South East London,I was already a regular sauna user,Instagram,Rarely,Peckham,Yes,Yes,5,"Helped with physical pain management, Improved mood, Assists me with my mental health resilience, Helped me connect with the outdoors",Yes,,Yes,,5,3,4,5,5,Wearing flip flops compulsory ,N/a,N/a,No,,"A place to be in nature, essential self - care from living in London. A calm welcoming space to relax. I have chronic pain and it helps with that and my overall mood",South East London,"Sauna health benefits, Behind the scenes, Sauna etiquette or best practices, Upcoming events, Stories and testimonials from the community, Not-for-profit work",It’s a really wonderful service 
45688.6980609375,35–44,Male,"Mixed or multiple ethnic groups (e.g., White and Black Caribbean, White and Asian)",No,Heterosexual,Employed,Islam,South East London,Once or twice,Word of mouth,Weekly,Peckham,Yes,Yes,4,"Improved mood, Improved sense of belonging to the local community., Helped me connect with the outdoors",Yes,,Yes,,4,3,3,3,3,,Alexandra Recreation Ground,,No,,Helps me connect with outdoors and not fear the cold.,South East London,"Sauna health benefits, Behind the scenes",
45688.6984872685,25–34,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Christianity,West London,Never,Word of mouth,Rarely,Hackney Wick,Not sure,Not sure,4,"Improved my fitness performance, Improved my health, Helped me connect with the outdoors, Increased my body confidence",Yes,,Yes,,4,4,4,4,4,,Marylebone,free community sauna nights once a month to make it more accessible,No,Social Media,,North West London,Upcoming events,
45688.6985443403,45–54,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Buddhism,East London,I was already a regular sauna user,Word of mouth,Monthly,Hackney Wick,Yes,Yes,5,"Helped with physical pain management, Improved mood, Assists me with my mental health resilience, Improved my health",Yes,,Yes,,3,3,4,4,4,"I would like to see the staff try, I know it's hard, to ensure everyone showers before cold plunges and sit on bum towels. The water just gets a bit grimy in the cold plunges. ",,,No,,"Sauna has huge health benefits, I only wish it wasn't limited to an hour sometimes",,"Sauna etiquette or best practices, Upcoming events",
45688.6985757639,25–34,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Atheism,East London,I was already a regular sauna user,Website,Weekly,Hackney Wick,Not sure,Yes,4,"Improved mood, Assists me with my mental health resilience",Yes,,,,5,5,5,5,5,,,,No,,"My favourite place in London. It's a great space, with a nice atmosphere and great facilities. ",South West London,,
